,date,open,high,low,close,volume,average,barCount
0,2025-01-28 09:30:00-05:00,230.84,232.8,230.81,232.67,18010.73,231.41,4417
1,2025-01-28 09:31:00-05:00,232.68,233.6,232.33,233.04,5860.5,232.988,2749
2,2025-01-28 09:32:00-05:00,233.07,233.52,232.86,233.35,3215.59,233.239,1635
3,2025-01-28 09:33:00-05:00,233.35,233.7,233.19,233.53,3809.96,233.419,1874
4,2025-01-28 09:34:00-05:00,233.55,234.19,233.27,234.18,4128.35,233.721,1898
5,2025-01-28 09:35:00-05:00,234.17,234.25,232.97,233.09,2904.27,233.444,1502
6,2025-01-28 09:36:00-05:00,233.02,233.76,232.75,233.76,2578.33,233.254,1428
7,2025-01-28 09:37:00-05:00,233.76,233.84,233.28,233.34,2178.56,233.552,1375
8,2025-01-28 09:38:00-05:00,233.38,234.3,233.36,234.17,3629.56,234.077,1860
9,2025-01-28 09:39:00-05:00,234.18,234.7,234.17,234.66,4632.27,234.41,2171
10,2025-01-28 09:40:00-05:00,234.67,234.96,234.31,234.74,3765.65,234.678,1859
11,2025-01-28 09:41:00-05:00,234.73,235.12,234.35,235.1,3915.59,234.845,1789
12,2025-01-28 09:42:00-05:00,235.09,235.1,234.6,234.9,2120.5,234.806,1076
13,2025-01-28 09:43:00-05:00,234.92,235.4,234.92,235.28,3127.82,235.195,1469
14,2025-01-28 09:44:00-05:00,235.31,235.35,234.84,235.03,2516.68,235.046,1422
15,2025-01-28 09:45:00-05:00,235.01,235.5,234.95,235.48,2504.29,235.253,1347
16,2025-01-28 09:46:00-05:00,235.48,235.58,234.58,234.82,3373.54,235.108,1704
17,2025-01-28 09:47:00-05:00,234.83,234.86,234.16,234.21,2443.78,234.47,1315
18,2025-01-28 09:48:00-05:00,234.22,234.43,233.88,234.39,3162.37,234.076,1285
19,2025-01-28 09:49:00-05:00,234.39,235.28,234.3,235.21,2954.87,234.816,1411
20,2025-01-28 09:50:00-05:00,235.2,235.29,234.83,235.2,2463.17,235.089,1182
21,2025-01-28 09:51:00-05:00,235.22,235.59,234.87,235.03,2647.33,235.288,1427
22,2025-01-28 09:52:00-05:00,235.03,235.45,234.86,234.98,2172.38,235.175,1087
23,2025-01-28 09:53:00-05:00,234.97,235.35,234.96,235.31,1435.89,235.18,743
24,2025-01-28 09:54:00-05:00,235.33,235.5,235.02,235.2,1586.6,235.256,794
25,2025-01-28 09:55:00-05:00,235.2,235.24,234.98,235.04,1283.7,235.107,627
26,2025-01-28 09:56:00-05:00,235.02,235.12,234.72,235.09,1625.59,234.92,834
27,2025-01-28 09:57:00-05:00,235.09,235.25,234.8,234.86,1304.59,234.998,860
28,2025-01-28 09:58:00-05:00,234.86,234.98,234.55,234.7,1727.84,234.735,988
29,2025-01-28 09:59:00-05:00,234.69,234.86,234.5,234.69,2322.16,234.67,1176
30,2025-01-28 10:00:00-05:00,234.67,234.95,234.38,234.81,1336.27,234.695,822
31,2025-01-28 10:01:00-05:00,234.85,235.05,234.74,235.02,2168.15,234.923,1134
32,2025-01-28 10:02:00-05:00,235.03,235.42,235.02,235.26,1255.28,235.217,662
33,2025-01-28 10:03:00-05:00,235.29,235.75,235.25,235.7,2100.26,235.598,988
34,2025-01-28 10:04:00-05:00,235.72,235.84,235.51,235.78,1786.46,235.709,843
35,2025-01-28 10:05:00-05:00,235.78,236.18,235.72,235.74,3460.69,235.949,1649
36,2025-01-28 10:06:00-05:00,235.75,235.94,235.65,235.89,1188.14,235.793,688
37,2025-01-28 10:07:00-05:00,235.89,236.1,235.75,236.05,1335.59,235.926,668
38,2025-01-28 10:08:00-05:00,236.05,236.12,235.9,236.02,1711.66,235.99,1005
39,2025-01-28 10:09:00-05:00,236.02,236.08,235.75,236.02,1830.92,235.921,973
40,2025-01-28 10:10:00-05:00,236.0,236.25,235.92,236.25,1783.0,236.119,816
41,2025-01-28 10:11:00-05:00,236.23,236.34,236.05,236.1,1546.58,236.209,762
42,2025-01-28 10:12:00-05:00,236.12,236.59,236.1,236.55,2143.45,236.402,928
43,2025-01-28 10:13:00-05:00,236.54,236.68,236.31,236.68,1989.84,236.535,892
44,2025-01-28 10:14:00-05:00,236.68,236.85,236.53,236.56,2807.34,236.717,1378
45,2025-01-28 10:15:00-05:00,236.58,236.72,236.34,236.47,1738.98,236.535,782
46,2025-01-28 10:16:00-05:00,236.48,236.6,236.45,236.52,1011.44,236.528,546
47,2025-01-28 10:17:00-05:00,236.52,236.76,236.5,236.74,1219.92,236.666,561
48,2025-01-28 10:18:00-05:00,236.74,236.84,236.28,236.39,2440.53,236.467,1138
49,2025-01-28 10:19:00-05:00,236.39,236.57,236.29,236.56,1230.67,236.403,590
50,2025-01-28 10:20:00-05:00,236.54,236.76,236.43,236.48,1140.37,236.626,553
51,2025-01-28 10:21:00-05:00,236.46,236.55,236.25,236.34,1114.72,236.39,555
52,2025-01-28 10:22:00-05:00,236.32,236.73,236.26,236.53,1472.91,236.498,587
53,2025-01-28 10:23:00-05:00,236.53,237.04,236.44,237.04,2770.2,236.802,1020
54,2025-01-28 10:24:00-05:00,237.03,237.44,237.02,237.39,2800.24,237.212,1151
55,2025-01-28 10:25:00-05:00,237.4,237.5,237.33,237.49,2440.82,237.418,1251
56,2025-01-28 10:26:00-05:00,237.48,237.64,237.26,237.36,2608.42,237.517,1216
57,2025-01-28 10:27:00-05:00,237.34,237.47,237.24,237.31,1275.96,237.341,620
58,2025-01-28 10:28:00-05:00,237.3,237.62,237.25,237.55,2019.17,237.495,994
59,2025-01-28 10:29:00-05:00,237.55,237.79,237.45,237.62,2252.42,237.681,1066
60,2025-01-28 10:30:00-05:00,237.65,238.01,237.63,238.0,4664.06,237.907,1872
61,2025-01-28 10:31:00-05:00,238.0,238.04,237.76,237.84,3589.1,237.929,1443
62,2025-01-28 10:32:00-05:00,237.88,238.0,237.76,237.97,1510.37,237.905,763
63,2025-01-28 10:33:00-05:00,237.96,238.25,237.95,238.04,3239.72,238.107,1544
64,2025-01-28 10:34:00-05:00,238.04,238.13,237.91,238.11,2458.12,238.029,1406
65,2025-01-28 10:35:00-05:00,238.11,238.25,237.7,237.79,2754.79,238.001,1386
