,date,open,high,low,close,volume,average,barCount
0,2024-08-29 09:30:00-04:00,230.1,230.35,228.88,229.72,14140.45,229.834,2620
1,2024-08-29 09:31:00-04:00,229.72,229.9,229.38,229.85,2501.67,229.736,1420
2,2024-08-29 09:32:00-04:00,229.85,230.05,229.72,229.93,2805.43,229.915,1434
3,2024-08-29 09:33:00-04:00,229.9,230.13,229.55,229.66,2645.61,229.896,1343
4,2024-08-29 09:34:00-04:00,229.69,229.89,229.15,229.88,1843.65,229.516,1081
5,2024-08-29 09:35:00-04:00,229.88,230.28,229.56,230.28,3274.89,230.023,1798
6,2024-08-29 09:36:00-04:00,230.25,230.64,230.24,230.56,4224.64,230.446,2014
7,2024-08-29 09:37:00-04:00,230.56,230.81,230.5,230.81,2555.04,230.672,1465
8,2024-08-29 09:38:00-04:00,230.82,231.18,230.74,230.92,4319.84,231.002,1973
9,2024-08-29 09:39:00-04:00,230.92,231.1,230.72,230.86,3333.69,230.951,1659
10,2024-08-29 09:40:00-04:00,230.86,231.45,230.85,231.39,3744.33,231.204,1742
11,2024-08-29 09:41:00-04:00,231.39,231.43,231.03,231.14,2907.76,231.246,1341
12,2024-08-29 09:42:00-04:00,231.16,231.26,230.83,230.92,2054.36,231.055,1032
13,2024-08-29 09:43:00-04:00,230.92,230.94,230.52,230.53,1931.49,230.678,1062
14,2024-08-29 09:44:00-04:00,230.53,230.99,230.52,230.97,1377.08,230.858,772
15,2024-08-29 09:45:00-04:00,230.98,231.24,230.88,231.05,1495.8,231.057,898
16,2024-08-29 09:46:00-04:00,231.07,231.14,230.88,231.12,1624.14,231.029,915
17,2024-08-29 09:47:00-04:00,231.14,231.26,230.93,231.13,1596.07,231.138,709
18,2024-08-29 09:48:00-04:00,231.15,231.4,231.14,231.27,1881.39,231.265,760
19,2024-08-29 09:49:00-04:00,231.29,231.55,231.2,231.54,2507.88,231.421,1135
20,2024-08-29 09:50:00-04:00,231.54,231.59,230.62,230.69,2107.08,231.071,1029
21,2024-08-29 09:51:00-04:00,230.69,230.91,230.4,230.81,1725.6,230.648,1089
22,2024-08-29 09:52:00-04:00,230.83,230.89,230.44,230.52,1361.21,230.689,706
23,2024-08-29 09:53:00-04:00,230.52,230.7,230.24,230.57,1512.12,230.507,875
24,2024-08-29 09:54:00-04:00,230.57,230.7,230.52,230.6,1166.82,230.634,587
25,2024-08-29 09:55:00-04:00,230.61,231.15,230.4,231.11,2017.29,230.706,1175
26,2024-08-29 09:56:00-04:00,231.13,231.66,231.09,231.6,3052.91,231.434,1411
27,2024-08-29 09:57:00-04:00,231.62,231.63,231.32,231.41,1824.86,231.452,1080
28,2024-08-29 09:58:00-04:00,231.4,231.5,231.3,231.4,856.17,231.397,454
29,2024-08-29 09:59:00-04:00,231.4,231.6,231.4,231.57,1229.43,231.515,618
30,2024-08-29 10:00:00-04:00,231.58,231.94,231.46,231.56,1986.39,231.727,1042
31,2024-08-29 10:01:00-04:00,231.57,231.58,231.24,231.27,998.6,231.392,646
32,2024-08-29 10:02:00-04:00,231.28,231.34,230.9,231.14,1366.88,231.114,840
33,2024-08-29 10:03:00-04:00,231.11,231.14,230.82,230.95,992.77,230.954,511
34,2024-08-29 10:04:00-04:00,230.95,230.96,230.71,230.82,747.23,230.814,414
35,2024-08-29 10:05:00-04:00,230.83,231.0,230.68,230.76,911.86,230.884,463
36,2024-08-29 10:06:00-04:00,230.78,230.8,230.55,230.77,780.19,230.676,441
37,2024-08-29 10:07:00-04:00,230.75,230.98,230.75,230.94,997.24,230.878,644
38,2024-08-29 10:08:00-04:00,230.93,231.05,230.91,231.01,1056.69,230.982,490
39,2024-08-29 10:09:00-04:00,231.01,231.05,230.33,230.36,1492.37,230.669,763
40,2024-08-29 10:10:00-04:00,230.36,230.66,230.33,230.55,1077.83,230.491,498
41,2024-08-29 10:11:00-04:00,230.56,230.78,230.55,230.72,792.09,230.679,420
42,2024-08-29 10:12:00-04:00,230.73,230.96,230.71,230.8,985.92,230.803,595
