,date,open,high,low,close,volume,average,barCount
0,2025-02-07 09:30:00-05:00,232.54,232.86,232.09,232.74,6215.0,232.562,1494
1,2025-02-07 09:31:00-05:00,232.67,233.91,232.61,233.44,2800.48,233.362,1189
2,2025-02-07 09:32:00-05:00,233.44,233.52,232.73,233.07,863.78,233.111,468
3,2025-02-07 09:33:00-05:00,233.06,233.3,232.91,233.21,827.03,233.098,440
4,2025-02-07 09:34:00-05:00,233.21,233.43,233.11,233.41,1205.64,233.231,558
5,2025-02-07 09:35:00-05:00,233.43,233.43,233.01,233.29,574.18,233.178,350
6,2025-02-07 09:36:00-05:00,233.27,233.79,233.14,233.58,858.98,233.45,486
7,2025-02-07 09:37:00-05:00,233.62,233.7,233.45,233.57,686.41,233.561,438
8,2025-02-07 09:38:00-05:00,233.56,233.81,233.43,233.69,677.1,233.637,355
9,2025-02-07 09:39:00-05:00,233.69,234.0,233.61,233.77,1453.44,233.848,783
10,2025-02-07 09:40:00-05:00,233.77,233.8,233.37,233.42,453.86,233.632,264
11,2025-02-07 09:41:00-05:00,233.44,233.71,233.44,233.47,634.28,233.598,351
12,2025-02-07 09:42:00-05:00,233.48,233.5,233.23,233.32,504.25,233.346,269
13,2025-02-07 09:43:00-05:00,233.33,233.42,233.19,233.29,688.77,233.304,328
14,2025-02-07 09:44:00-05:00,233.27,233.28,233.07,233.14,695.33,233.175,369
15,2025-02-07 09:45:00-05:00,233.14,233.39,233.1,233.32,705.96,233.207,380
16,2025-02-07 09:46:00-05:00,233.32,233.7,233.32,233.7,774.33,233.555,405
17,2025-02-07 09:47:00-05:00,233.68,233.7,233.44,233.47,446.4,233.594,260
18,2025-02-07 09:48:00-05:00,233.46,233.47,233.25,233.41,446.56,233.355,216
19,2025-02-07 09:49:00-05:00,233.41,233.53,233.3,233.35,515.18,233.43,269
20,2025-02-07 09:50:00-05:00,233.34,233.4,233.11,233.2,485.69,233.275,276
21,2025-02-07 09:51:00-05:00,233.19,233.4,233.1,233.31,413.01,233.263,239
22,2025-02-07 09:52:00-05:00,233.31,233.5,233.26,233.38,670.34,233.367,381
23,2025-02-07 09:53:00-05:00,233.36,233.37,233.12,233.13,397.91,233.222,230
24,2025-02-07 09:54:00-05:00,233.14,233.18,233.0,233.04,662.89,233.069,392
25,2025-02-07 09:55:00-05:00,233.02,233.1,232.88,232.96,710.19,233.03,349
26,2025-02-07 09:56:00-05:00,232.96,233.1,232.86,232.88,573.95,232.989,333
27,2025-02-07 09:57:00-05:00,232.88,232.88,232.59,232.7,768.99,232.682,427
28,2025-02-07 09:58:00-05:00,232.7,232.8,232.61,232.71,710.95,232.695,353
29,2025-02-07 09:59:00-05:00,232.7,232.74,232.57,232.69,750.06,232.67,425
30,2025-02-07 10:00:00-05:00,232.68,232.68,231.33,231.74,3035.06,231.929,1808
31,2025-02-07 10:01:00-05:00,231.73,231.85,231.39,231.68,898.71,231.602,512
32,2025-02-07 10:02:00-05:00,231.67,231.69,231.13,231.45,863.9,231.337,564
33,2025-02-07 10:03:00-05:00,231.46,231.65,230.95,231.25,1298.22,231.254,694
34,2025-02-07 10:04:00-05:00,231.24,231.26,230.72,231.06,1239.16,230.986,750
35,2025-02-07 10:05:00-05:00,231.04,231.05,230.82,231.05,652.03,230.937,446
36,2025-02-07 10:06:00-05:00,231.04,231.2,230.83,230.98,1275.77,231.052,633
37,2025-02-07 10:07:00-05:00,230.96,231.05,230.7,230.76,826.46,230.847,445
38,2025-02-07 10:08:00-05:00,230.78,230.89,230.69,230.78,675.98,230.806,370
39,2025-02-07 10:09:00-05:00,230.78,231.14,230.77,231.08,936.55,230.972,561
40,2025-02-07 10:10:00-05:00,231.1,231.31,230.8,230.86,1317.3,231.063,648
41,2025-02-07 10:11:00-05:00,230.86,230.98,230.69,230.78,1216.42,230.825,633
42,2025-02-07 10:12:00-05:00,230.8,230.84,230.49,230.58,1577.12,230.594,949
43,2025-02-07 10:13:00-05:00,230.59,230.67,230.3,230.35,1283.41,230.468,688
44,2025-02-07 10:14:00-05:00,230.36,230.47,230.27,230.29,1085.64,230.359,732
45,2025-02-07 10:15:00-05:00,230.31,230.47,230.23,230.47,1215.46,230.33,686
46,2025-02-07 10:16:00-05:00,230.43,230.5,230.26,230.44,700.52,230.393,368
47,2025-02-07 10:17:00-05:00,230.43,230.43,230.12,230.21,754.39,230.271,487
48,2025-02-07 10:18:00-05:00,230.17,230.29,229.99,230.0,1532.11,230.137,845
49,2025-02-07 10:19:00-05:00,229.99,230.09,229.88,230.06,1246.69,229.981,597
50,2025-02-07 10:20:00-05:00,230.08,230.39,229.89,230.0,577.65,230.117,340
51,2025-02-07 10:21:00-05:00,230.01,230.49,230.0,230.45,664.82,230.237,448
52,2025-02-07 10:22:00-05:00,230.45,230.69,230.36,230.51,771.59,230.515,479
53,2025-02-07 10:23:00-05:00,230.54,230.66,230.4,230.56,509.6,230.531,312
54,2025-02-07 10:24:00-05:00,230.58,230.81,230.57,230.63,835.45,230.68,397
